t_rel_s,ecg,hdf_label
1.154,-1.7618961036417409,0
1.156,-1.833365059169307,0
1.159,-1.8223529925855024,0
1.161,-1.7474741039842543,0
1.163,-1.6318365077038366,0
1.164,-1.4965550408228714,0
1.167,-1.36253585556533,0
1.168,-1.2432950263918383,0
1.169,-1.146246099166382,0
1.171,-1.0727287236823642,0
1.174,-1.0202618597422202,0
1.176,-0.9836797302662288,0
1.177,-0.957761468986411,0
1.18,-0.9379560471825038,0
1.182,-0.9192530437134546,0
1.184,-0.8960308522418284,0
1.185,-0.8633354286637701,0
1.187,-0.8195382413854796,0
1.19,-0.7598375445196665,0
1.191,-0.6863630889576704,0
1.193,-0.6021958553371484,0
1.196,-0.51453746200936,0
1.198,-0.4262633828863727,0
1.2,-0.3475869259943282,0
1.201,-0.2833628148098494,0
1.203,-0.2507195197047093,0
1.206,-0.2667603248015057,0
1.207,-0.3464953677100545,0
1.209,-0.4879126839622685,0
1.211,-0.6584550138016978,0
1.212,-0.7905784973399366,0
1.215,-0.7946449462163048,0
1.217,-0.5893074142095112,0
1.219,-0.1387843898351068,0
1.22,0.5201250475075966,0
1.223,1.2757521436756545,0
1.224,1.967167236822026,0
1.226,2.427019264122627,0
1.228,2.524070051275168,0
1.23,2.1917251309366814,0
1.233,1.43721705497922,0
1.235,0.3381117903888345,0
1.236,-0.9676310769044588,0
1.239,-2.297453169299361,0
1.24,-3.446864522116689,0
1.243,-4.223042912780901,0
1.244,-4.485498769138771,1
1.246,-4.181664975806244,0
1.248,-3.3634672686112026,0
1.251,-2.177639274172047,0
1.253,-0.8316439874028039,0
1.254,0.4543239276150745,0
1.256,1.4956946013575905,0
1.257,2.1706947102887555,0
1.259,2.4374522101364344,0
1.262,2.3245796980487867,0
1.263,1.9202706604879929,0
1.265,1.350437052310828,0
1.267,0.7524893494707375,0
1.27,0.257949799495308,0
1.272,-0.0380653991030056,0
1.273,-0.0993457586696653,0
1.276,0.0596093552855983,0
1.278,0.3786324767228743,0
1.279,0.7551183122914028,0
1.281,1.0795312918246451,0
1.283,1.2741213903471964,0
1.286,1.3069201924353795,0
1.288,1.1959309453493487,0
1.289,0.9981156030022988,0
1.292,0.783930527485351,0
1.294,0.6228951035945334,0
1.295,0.5465983026505666,0
1.296,0.547688515054122,0
1.299,0.6024931565159315,0
1.3,0.6700458031220707,0
1.302,0.7218399908908346,0
1.304,0.7510991075691683,0
1.307,0.7605623895202209,0
1.309,0.7336304560329328,0
1.311,0.6826918393315731,0
1.312,0.6301271060350098,0
1.315,0.5682896991902069,0
1.316,0.526240498643544,0
1.319,0.4994139259859153,0
1.32,0.4588375267859595,0
1.322,0.4119314105578795,0
1.325,0.3659808818604089,0
1.327,0.3237329860208058,0
1.328,0.2925849853443684,0
1.331,0.2772515905145991,0
1.332,0.2539537643642724,0
1.335,0.2251358882888886,0
1.336,0.2057262236379065,0
1.337,0.1921967285117023,0
1.339,0.1749021136061158,0
1.342,0.155140750140921,0
1.344,0.1359511299683994,0
1.345,0.1155164486747135,0
1.348,0.1001711802578985,0
1.35,0.0904438956227254,0
1.351,0.0819611192588108,0
1.353,0.0762688824228273,0
1.355,0.0665525231998478,0
1.358,0.0517888756579123,0
1.359,0.0360065706553297,0
1.361,0.017194736351073,0
1.364,0.0074921239201307,0
1.366,0.0037629908178365,0
1.368,-0.0106387721514836,0
1.369,-0.0358997137535387,0
1.371,-0.0491997250297011,0
1.374,-0.0491995142465105,0
1.375,-0.0539200065719181,0
1.377,-0.0536107248108837,0
1.378,-0.0539345012020736,0
1.381,-0.054910705630407,0
1.383,-0.0509389821308185,0
1.384,-0.0476297767332728,0
1.387,-0.0470892384997089,0
1.388,-0.0511626514783988,0
1.391,-0.0569362427032763,0
1.392,-0.0660118712844437,0
1.394,-0.0830530681945752,0
1.396,-0.1043918644124632,0
1.399,-0.1204983266243937,0
1.401,-0.1296824650456588,0
1.403,-0.1443731634785058,0
1.404,-0.1665361652525105,0
1.407,-0.1837127350818156,0
1.408,-0.1991530935566256,0
1.411,-0.2181215308794359,0
1.412,-0.2396064320835416,0
1.414,-0.2634544766307296,0
1.416,-0.286199539226101,0
1.419,-0.3120430305098683,0
1.42,-0.3393509854714593,0
1.422,-0.3661959705306948,0
1.424,-0.3973955627804506,0
1.425,-0.4201211079099773,0
1.427,-0.4351834950851461,0
1.43,-0.4602149537415678,0
1.431,-0.494113023373167,0
1.433,-0.5410933994881651,0
