pig,chamber,period,experimental_unit,timestamp,phase_idx,outer_fold,observed_HP,predicted_HP__Sensor/context base,predicted_HP__+ planned feeding amount,predicted_HP__+ protocol meal timing
pig_01,A1,8,A1_p8,2026-07-14 18:00:00,4,3,31.468413705154926,33.30104401976955,33.17929699756846,33.70089434022129
pig_01,A1,8,A1_p8,2026-07-14 18:30:00,4,3,23.18134040038639,24.713964648088158,24.66785379747246,27.373838260910738
pig_01,A1,8,A1_p8,2026-07-14 19:00:00,4,3,23.914755444637844,26.502692606330513,26.481898046489583,27.871621094664402
pig_01,A1,8,A1_p8,2026-07-14 19:30:00,4,3,25.133169002193444,26.203134434131684,26.164648516927798,28.575175563791458
pig_01,A1,8,A1_p8,2026-07-14 20:00:00,4,3,21.661183682270675,24.675439611800012,24.69483426313691,26.890865841371493
pig_01,A1,8,A1_p8,2026-07-14 20:30:00,4,3,20.91256735513113,25.563300780396844,25.532811835500212,27.102648178463696
pig_01,A1,8,A1_p8,2026-07-14 21:00:00,4,3,22.445974346785594,25.69331981710235,25.622610351897077,28.294834480120954
pig_01,A1,8,A1_p8,2026-07-14 21:30:00,4,3,24.31707928840965,31.67016814504132,31.762895646820272,34.04609735013706
pig_01,A1,8,A1_p8,2026-07-14 22:00:00,4,3,27.544258063819406,26.029060166004996,26.07805485151738,29.06043694984189
pig_01,A1,8,A1_p8,2026-07-14 22:30:00,4,3,20.92831984225388,24.671760857953252,24.688913887440684,27.03429867130245
pig_01,A1,8,A1_p8,2026-07-14 23:00:00,4,3,21.08684779795635,23.65536298853325,23.578705465117757,26.47971662646249
pig_01,A1,8,A1_p8,2026-07-14 23:30:00,4,3,21.310099671840998,24.187608396040787,24.12035588382947,27.958667983094106
pig_01,A1,8,A1_p8,2026-07-15 00:00:00,4,3,22.707830318694917,25.141565990573298,25.125979285362767,27.482973884140833
pig_01,A1,8,A1_p8,2026-07-15 00:30:00,4,3,20.64567382726036,23.5711259279214,23.585859964666863,26.111310605454257
pig_01,A1,8,A1_p8,2026-07-15 01:00:00,4,3,21.405170664997303,24.23701595272749,24.29895364849996,27.01444330962863
pig_01,A1,8,A1_p8,2026-07-15 01:30:00,4,3,19.82215820172323,23.909009956387095,23.80618490975275,26.57150752735402
pig_01,A1,8,A1_p8,2026-07-15 02:00:00,4,3,20.00900583563264,25.754961687662203,25.887945553781005,27.23051696763732
pig_01,A1,8,A1_p8,2026-07-15 02:30:00,4,3,20.114666026415705,23.11947935811883,23.119055790037166,26.50483820320321
pig_01,A1,8,A1_p8,2026-07-15 03:00:00,4,3,21.146444806874076,24.974411038784154,24.98154000897851,27.417400482464203
pig_01,A1,8,A1_p8,2026-07-15 03:30:00,4,3,20.326813314451357,23.399796159622724,23.422711906665576,27.174078267743738
pig_01,A1,8,A1_p8,2026-07-15 04:00:00,4,3,19.94345669481224,24.45762978819485,24.44507903951243,26.75093572079099
pig_01,A1,8,A1_p8,2026-07-15 04:30:00,4,3,21.170237987796817,25.274374409321013,25.290435000547593,27.778715680491253
pig_01,A1,8,A1_p8,2026-07-15 05:00:00,4,3,19.980839710055022,23.208448091719866,23.209437198828144,27.65111672169489
pig_01,A1,8,A1_p8,2026-07-15 05:30:00,4,3,20.1657085810775,22.575222977392084,22.487006686510764,27.580327144913504
pig_01,A1,8,A1_p8,2026-07-15 06:00:00,4,3,20.848497557171818,25.592000999437737,25.563101501454945,27.53743917275872
pig_01,A1,8,A1_p8,2026-07-15 06:30:00,4,3,19.30574245876796,23.446826305375133,23.370511753733297,26.82233375681715
pig_01,A1,8,A1_p8,2026-07-15 07:00:00,4,3,20.95098683423005,24.248649598280974,24.178251264623448,27.515982477267254
pig_02,B2,7,B2_p7,2026-07-07 10:00:00,2,3,42.788168942812774,41.215866352717924,41.14852478411139,42.648850390730374
pig_02,B2,7,B2_p7,2026-07-07 10:30:00,2,3,41.08166579325375,38.78532765379114,38.92687680318181,40.836634849135876
pig_02,B2,7,B2_p7,2026-07-07 11:00:00,2,3,71.9563938879489,43.85565737996727,43.89276800540366,46.78089579694905
pig_02,B2,7,B2_p7,2026-07-07 11:30:00,2,3,42.30625029925693,42.36165330907442,42.4018852733694,42.60262864069165
pig_02,B2,7,B2_p7,2026-07-07 12:00:00,2,3,64.32183163588469,40.73336569383059,40.79116784166155,42.208188052292996
pig_02,B2,7,B2_p7,2026-07-07 12:30:00,2,3,43.667317078192326,47.466962610256715,47.663328166379756,48.64161616287693
pig_02,B2,7,B2_p7,2026-07-07 13:00:00,2,3,66.93410966913271,44.50933933548104,44.14183847955829,43.32748236712648
pig_02,B2,7,B2_p7,2026-07-07 13:30:00,2,3,35.62160489268382,43.67663263956153,43.6872523049536,43.517403932438484
pig_02,B2,7,B2_p7,2026-07-07 14:00:00,2,3,48.66567282450792,46.03791732082037,46.1321352192065,40.534705497945836
pig_02,B2,7,B2_p7,2026-07-07 14:30:00,2,3,37.71792346974007,39.09886846807621,38.95614170960633,39.309339844075566
pig_02,B2,7,B2_p7,2026-07-07 15:00:00,2,3,39.553439719825825,45.052168079927256,44.82083447706673,47.05655486188723
pig_02,B2,7,B2_p7,2026-07-07 16:00:00,2,3,68.75563435112994,61.129553436409665,61.083602973925565,64.4542192534249
pig_02,B2,7,B2_p7,2026-07-07 16:30:00,2,3,46.49491950447855,44.347443080512214,44.21656348742384,44.906411476160244
pig_02,B2,7,B2_p7,2026-07-07 17:00:00,2,3,51.840819376572846,46.98255114746834,47.07234321445777,48.91530984343582
pig_02,B2,7,B2_p7,2026-07-07 17:30:00,2,3,38.69716588123088,41.18456064960975,41.16035565096862,42.211149366760296
pig_02,B2,7,B2_p7,2026-07-07 18:00:00,2,3,40.19405527899745,40.0602993012956,39.9885242753383,39.51830753528037
pig_02,B2,7,B2_p7,2026-07-07 18:30:00,2,3,41.862638080430415,41.57928997532312,41.47065635865569,40.9676712812724
pig_02,B2,7,B2_p7,2026-07-07 19:00:00,2,3,44.76758532864107,40.81518183885797,40.789599849998424,41.14608151681842
pig_02,B2,7,B2_p7,2026-07-07 19:30:00,2,3,44.22468725294517,39.70569235759503,39.6170992130373,39.446878406521364
pig_02,B2,7,B2_p7,2026-07-07 20:00:00,2,3,43.07794587617681,39.902695011237384,39.585416373536916,39.54124062527212
pig_02,B2,7,B2_p7,2026-07-07 20:30:00,2,3,42.16213206663773,37.41120703307634,37.480025027471434,38.73236672933213
pig_02,B2,7,B2_p7,2026-07-07 21:00:00,2,3,43.19869679436717,40.35565507492947,40.290646647053805,39.44061036575165
pig_02,B2,7,B2_p7,2026-07-07 21:30:00,2,3,38.639814194135596,38.19866936332227,38.109952318215605,38.57097081091248
pig_02,B2,7,B2_p7,2026-07-07 22:00:00,2,3,40.32163795502999,39.46460766841576,39.43856304945616,39.721032586828734
pig_02,B2,7,B2_p7,2026-07-07 22:30:00,2,3,38.757075062409,37.944158823067625,38.0839846004697,38.29371700269983
pig_02,B2,7,B2_p7,2026-07-07 23:00:00,2,3,40.02301466839812,38.651011810295884,38.5553015096243,38.09631015527458
pig_02,B2,7,B2_p7,2026-07-07 23:30:00,2,3,38.25002075044859,36.01352998541284,36.0108060595829,35.44247868614273
pig_02,B2,7,B2_p7,2026-07-08 00:00:00,2,3,37.85242947022838,37.142020862261134,37.15771847964613,35.33827833697728
pig_02,B2,7,B2_p7,2026-07-08 00:30:00,2,3,35.21290037480348,36.30848492246388,36.30251666302403,36.32564781919435
pig_02,B2,7,B2_p7,2026-07-08 01:00:00,2,3,35.48918875091764,35.59871868806643,35.59994150792461,34.183427790298595
pig_02,B2,7,B2_p7,2026-07-08 01:30:00,2,3,37.62242137672706,37.292133788448304,37.487790404016,36.64260865219036
pig_02,B2,7,B2_p7,2026-07-08 02:00:00,2,3,35.64440145333812,35.58169960940063,35.65260561711064,36.23579266747562
pig_02,B2,7,B2_p7,2026-07-08 02:30:00,2,3,38.69463941111282,37.06252290317254,36.90913076114397,35.671992364045686
