pig,chamber,period,experimental_unit,timestamp,phase_idx,outer_fold,observed_HP,predicted_HP__Metabolic body weight,predicted_HP__Heart rate · Ridge,predicted_HP__Heart rate · LightGBM,predicted_HP__ODBA · Ridge,predicted_HP__ODBA · LightGBM,predicted_HP__Heart rate + ODBA · Ridge,predicted_HP__Heart rate + ODBA · LightGBM,predicted_HP__Main model (uncalibrated)
pig_01,A1,8,A1_p8,2026-07-12 09:30:00,2,3,56.837659498215,46.39419361883156,62.25115122643354,70.61902528179962,57.24249198779173,63.07884240979459,67.94364059585259,82.50491054838808,59.02460364011703
pig_01,A1,8,A1_p8,2026-07-12 10:00:00,2,3,42.642631299710125,46.435202479206744,53.033176297581136,53.79446565304795,45.61898508517608,49.39060013588564,51.71701174250124,58.95941083785567,44.80419910862585
pig_01,A1,8,A1_p8,2026-07-12 10:30:00,2,3,38.82517785236907,46.47392017029881,53.99121590198538,54.10550300269175,44.90677505728901,45.584360363946715,52.05116097256766,49.26615923722913,43.28520686569682
pig_01,A1,8,A1_p8,2026-07-12 11:00:00,2,3,36.6019086565782,46.51264007061518,49.853637222521456,49.703849053592975,44.05503700568703,41.72392937859738,47.77392965007157,48.13534561424241,41.82747600242668
pig_01,A1,8,A1_p8,2026-07-12 11:30:00,2,3,40.52209432916164,46.553606709070145,50.17332080401365,53.509989690271155,46.06537346562674,53.55673098500496,49.42329750918576,54.81186901423578,44.21121218818929
pig_01,A1,8,A1_p8,2026-07-12 12:00:00,2,3,37.443075752593266,46.59458353538269,48.940077986931364,50.34349879430937,44.16435625388277,43.26576983867784,46.992743000155194,46.77212140322469,41.709316364514194
pig_01,A1,8,A1_p8,2026-07-12 12:30:00,2,3,39.06421497365787,46.63553602277597,47.83939514038123,50.374697477246556,45.57522600222097,45.965280538533605,46.969199569424454,51.04292526993914,41.34340931487438
pig_01,A1,8,A1_p8,2026-07-12 13:00:00,2,3,36.40071266825475,46.67420870267843,46.4969820959868,47.41351973433918,44.377312034457354,43.23188742340114,44.929309106177556,43.99333361243556,41.47314821391555
pig_01,A1,8,A1_p8,2026-07-12 13:30:00,2,3,36.80431088759764,46.712857764890174,47.2941847483312,49.85758493147692,44.290190037994776,44.728775590144295,45.553120147464284,44.842767848479426,40.33855230656304
pig_01,A1,8,A1_p8,2026-07-12 14:00:00,2,3,46.97428188988183,46.75377568018162,48.41450163476671,49.60054376452723,53.356539319477065,53.63969464103741,52.78980796025998,56.40860693163632,45.73942549788482
pig_01,A1,8,A1_p8,2026-07-12 14:30:00,2,3,39.07255112481942,46.79468412538384,48.39333339147527,46.08153113273539,46.22333024102329,49.7513948971839,47.81616827696831,50.22621718347529,42.89309063752167
pig_01,A1,8,A1_p8,2026-07-12 15:00:00,2,3,44.69786181250292,46.828770317406196,56.114582302072954,51.66818406351214,54.411243451737334,54.236320947582335,60.29821829425954,64.95081061695821,51.89660516613303
pig_01,A1,8,A1_p8,2026-07-12 16:00:00,2,3,53.093653177005294,46.90144201899598,67.11831190355466,52.041511862150955,54.45525069339892,54.320488131655615,70.03642935924061,60.461970473968805,61.836719480684664
pig_01,A1,8,A1_p8,2026-07-14 16:00:00,4,3,19.77039480110436,46.89613846496979,36.763893599645655,32.10139179146314,42.345585199158684,32.86958773846793,34.77271630594685,28.245623402295962,26.381211176730112
pig_01,A1,8,A1_p8,2026-07-14 16:30:00,4,3,36.15420346453211,46.843530290818265,41.92625222384913,38.83701928027211,53.371568631214465,54.729613220907666,46.999528946562975,45.28591620775692,35.218798709070825
pig_01,A1,8,A1_p8,2026-07-14 17:00:00,4,3,34.21102144692175,46.77066208543008,43.51981670349328,41.790677468501386,50.63954068540648,48.55184483104574,46.56488075806139,41.524683355466465,34.12082265711768
pig_01,A1,8,A1_p8,2026-07-14 17:30:00,4,3,23.41239885468965,46.7018304640271,40.63814105873322,40.09382018534484,43.324860633309825,35.41972545732975,38.99462254002061,40.22851600192614,27.03753049763452
pig_01,A1,8,A1_p8,2026-07-14 18:00:00,4,3,31.468413705154926,46.632939748872246,42.23598189834636,38.8997741387015,50.205406363150814,53.13359687129585,45.206743999260695,43.46230926378827,32.380970821423944
